,danceability,energy,valence,tempo,acousticness,loudness,speechiness,popularity,peak_position
danceability,1.0,0.09219877184038691,0.4755077200594462,-0.17063106215504079,-0.16634731817450069,0.09396788047982567,0.3197439078249539,0.09253139856731935,-0.0795821892752772
energy,0.09219877184038691,1.0,0.39181115953346857,0.1623554044170249,-0.6602965899102746,0.7489669667681448,0.020903273711033423,0.010800052426210552,0.01421790713755543
valence,0.4755077200594462,0.39181115953346857,1.0,-0.004171554124083515,-0.31514679986162836,0.35927785950888275,0.12586607621948595,-0.003620379116500669,-0.051230737803723746
tempo,-0.17063106215504079,0.1623554044170249,-0.004171554124083515,1.0,-0.11067403421111091,0.08546963483167361,0.07825169357802032,0.050464342889243986,-0.04718563840225983
acousticness,-0.16634731817450069,-0.6602965899102746,-0.31514679986162836,-0.11067403421111091,1.0,-0.5227249866529672,-0.0034662382777722158,-0.021679368740197828,-0.00469661351186117
loudness,0.09396788047982567,0.7489669667681448,0.35927785950888275,0.08546963483167361,-0.5227249866529672,1.0,-0.03710828126626569,0.07401764718573962,-0.010139859644877949
speechiness,0.3197439078249539,0.020903273711033423,0.12586607621948595,0.07825169357802032,-0.0034662382777722158,-0.03710828126626569,1.0,0.0026517499334350217,-0.05120139212981796
popularity,0.09253139856731935,0.010800052426210552,-0.003620379116500669,0.050464342889243986,-0.021679368740197828,0.07401764718573962,0.0026517499334350217,1.0,-0.12423883389704472
peak_position,-0.0795821892752772,0.01421790713755543,-0.051230737803723746,-0.04718563840225983,-0.00469661351186117,-0.010139859644877949,-0.05120139212981796,-0.12423883389704472,1.0
