year,quarter,macro_genre,track_count
2020,1,Acoustic/Folk,294
2020,1,Country,167
2020,1,Electronic/Dance,3052
2020,1,Hip-Hop/Rap,876
2020,1,Jazz/Blues,8
2020,1,Latin,960
2020,1,Other,3560
2020,1,Pop,4141
2020,1,R&B/Soul,390
2020,1,Rock/Alternative,967
2020,2,Acoustic/Folk,278
2020,2,Country,28
2020,2,Electronic/Dance,5020
2020,2,Hip-Hop/Rap,933
2020,2,Jazz/Blues,93
2020,2,Latin,638
2020,2,Other,3518
2020,2,Pop,4788
2020,2,R&B/Soul,644
2020,2,Rock/Alternative,1148
2020,3,Acoustic/Folk,249
2020,3,Country,91
2020,3,Electronic/Dance,3000
2020,3,Hip-Hop/Rap,305
2020,3,Jazz/Blues,190
2020,3,Latin,853
2020,3,Other,3727
2020,3,Pop,6787
2020,3,R&B/Soul,252
2020,3,Rock/Alternative,2569
2020,4,Acoustic/Folk,286
2020,4,Country,92
2020,4,Electronic/Dance,2544
2020,4,Hip-Hop/Rap,778
2020,4,Jazz/Blues,293
2020,4,Latin,1666
2020,4,Other,4156
2020,4,Pop,6999
2020,4,R&B/Soul,428
2020,4,Rock/Alternative,2822
2021,1,Acoustic/Folk,421
2021,1,Country,107
2021,1,Electronic/Dance,4149
2021,1,Hip-Hop/Rap,1209
2021,1,Jazz/Blues,71
2021,1,Latin,1465
2021,1,Other,4179
2021,1,Pop,8085
2021,1,R&B/Soul,154
2021,1,Rock/Alternative,3643
2021,2,Acoustic/Folk,404
2021,2,Country,40
2021,2,Electronic/Dance,5221
2021,2,Hip-Hop/Rap,1399
2021,2,Jazz/Blues,24
2021,2,Latin,1357
2021,2,Other,4330
2021,2,Pop,10188
2021,2,R&B/Soul,577
2021,2,Rock/Alternative,3615
2021,3,Acoustic/Folk,499
2021,3,Country,62
2021,3,Electronic/Dance,4072
2021,3,Hip-Hop/Rap,2303
2021,3,Jazz/Blues,74
2021,3,Latin,2159
2021,3,Other,3446
2021,3,Pop,11711
2021,3,R&B/Soul,405
2021,3,Rock/Alternative,4217
2021,4,Acoustic/Folk,510
2021,4,Country,6
2021,4,Electronic/Dance,2654
2021,4,Hip-Hop/Rap,2101
2021,4,Jazz/Blues,65
2021,4,Latin,1217
2021,4,Other,3465
2021,4,Pop,8991
2021,4,R&B/Soul,1113
2021,4,Rock/Alternative,4061
