mood,count,month
Negative,1016,2020-01
Neutral,2197,2020-01
Positive,1468,2020-01
Negative,1274,2020-02
Neutral,1847,2020-02
Positive,1629,2020-02
Negative,1169,2020-03
Neutral,1940,2020-03
Positive,1875,2020-03
Negative,982,2020-04
Neutral,2444,2020-04
Positive,2195,2020-04
Negative,842,2020-05
Neutral,3426,2020-05
Positive,1898,2020-05
Negative,986,2020-06
Neutral,2664,2020-06
Positive,1651,2020-06
Negative,957,2020-07
Neutral,2742,2020-07
Positive,1628,2020-07
Negative,1198,2020-08
Neutral,3370,2020-08
Positive,1686,2020-08
Negative,1256,2020-09
Neutral,2841,2020-09
Positive,2345,2020-09
Negative,1216,2020-10
Neutral,2585,2020-10
Positive,2317,2020-10
Negative,1427,2020-11
Neutral,2755,2020-11
Positive,2482,2020-11
Negative,1592,2020-12
Neutral,3381,2020-12
Positive,2309,2020-12
Negative,2132,2021-01
Neutral,3745,2021-01
Positive,2177,2021-01
Negative,1641,2021-02
Neutral,3463,2021-02
Positive,2073,2021-02
Negative,1641,2021-03
Neutral,3865,2021-03
Positive,2746,2021-03
Negative,2070,2021-04
Neutral,3746,2021-04
Positive,2835,2021-04
Negative,2353,2021-05
Neutral,3841,2021-05
Positive,2627,2021-05
Negative,2225,2021-06
Neutral,4375,2021-06
Positive,3083,2021-06
Negative,2213,2021-07
Neutral,4855,2021-07
Positive,2993,2021-07
Negative,2331,2021-08
Neutral,4612,2021-08
Positive,2823,2021-08
Negative,2307,2021-09
Neutral,4334,2021-09
Positive,2480,2021-09
Negative,3132,2021-10
Neutral,4663,2021-10
Positive,2494,2021-10
Negative,2448,2021-11
Neutral,4500,2021-11
Positive,2182,2021-11
Negative,1212,2021-12
Neutral,2492,2021-12
Positive,1060,2021-12
