region,track_id,track_name,artist_spotify,peak_position,weeks_in_chart,streams
Brazil,2GqCEJpzmD81AJ2H0Hyz5T,Taca a Xereca pra Mim,MC Kaique da VP,1,52,0.0
Brazil,2UZZtkoLOg7IHxeTAdPFvd,Weightless Part 1,Marconi Union,1,33,0.0
Brazil,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,1,69,0.0
Brazil,3FAJ6O0NOHQV8Mc5Ri6ENp,Heartbreak Anniversary,Giveon,1,74,6152856.0
Brazil,3PfIrDoz19wz7qK7tYeu62,Don't Start Now,Dua Lipa,1,150,52579474.0
Brazil,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1,98,0.0
Brazil,4xqrdfXkTW4T0RauPLv3WA,Heather,Conan Gray,1,65,0.0
Brazil,4zGtfOglDBfVUypabBwIjQ,Desce Pro Play (PA PA PA),ZAAC;Anitta;Tyga,1,177,80646228.0
Brazil,6AGOKlMZWLCaEJGnaROtF9,Put Your Records On,Ritt Momney,1,110,0.0
Brazil,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,1,98,0.0
Brazil,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu;beabadoobee,1,156,28020907.0
Brazil,0QpOqKz66ZxHNqj2PPHiFF,Backyard Boy,Claire Rosinkranz,2,64,0.0
Brazil,3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,2,336,135792363.0
Brazil,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa;Emilee,2,95,0.0
Brazil,6uDBSDI9pDM7C4Gm0hc2hI,Castaways,The Backyardigans,2,36,0.0
Brazil,09gysnJpfQ3ublBmJDfcEC,SAD GIRLZ LUV MONEY Remix (feat. Kali Uchis and Moliy),Amaarae;Kali Uchis;Moliy,3,32,0.0
Brazil,20McUFi8KCIVdNDLrkTDuZ,Goosebumps,HVME,3,28,0.0
Brazil,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,3,83,39065203.0
Brazil,5MAK1nd8R6PWnle1Q1WJvh,I See Red,Everybody Loves an Outlaw,3,56,0.0
Brazil,5dntGTbUtmUO239wQ0k3yM,Mmmh,KAI,3,43,0.0
Global,0QpOqKz66ZxHNqj2PPHiFF,Backyard Boy,Claire Rosinkranz,1,90,0.0
Global,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1,636,2084995683.0
Global,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,1,70,535802178.0
Global,1dcNEEtODRVZEevQ20Cgmy,Nangangamba,Zack Tabudlo,1,36,0.0
Global,2X5AFygz5SDYlXagyPw8kX,Binibini,Zack Tabudlo,1,34,0.0
Global,2ygvZOXrIeVL4xZmAWJT2C,my future,Billie Eilish,1,27,54135751.0
Global,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,1,360,1048219734.0
Global,3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,1,627,2363175477.0
Global,3ZLGYdkjnOMdzHr0bGCGs9,Coronavirus,iMarkkeyz,1,1,0.0
Global,3pCt2wRdBDa2kCisIdHWgF,To the Bone,Pamungkas,1,96,0.0
Global,3z06k8YF9CqX0CGFrlekOK,everything sucks,vaultboy,1,42,0.0
Global,46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,1,64,366695692.0
Global,47EiUVwUp4C9fGccaPuUCS,DÁKITI,Bad Bunny;Jhayco,1,112,751728568.0
Global,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,1,268,589513480.0
Global,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,Bad Bunny;Jhay Cortez,1,1100,3375745648.0
Global,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,1,214,1056638803.0
Global,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1,126,271302312.0
Global,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,1,240,884473488.0
Global,4kfjA6WfgKBt7I7YKuDCkU,Blue Jeans,GANGGA,1,214,0.0
Global,52CBUrIdyf8tbZaUY9iawE,After School,Weeekly,1,42,0.0
India,018eOid2aGaPdxon7T6GsC,"Shayad (From ""Love Aaj Kal"")",Pritam;Arijit Singh,1,24,3354491.0
India,0QpOqKz66ZxHNqj2PPHiFF,Backyard Boy,Claire Rosinkranz,1,62,0.0
India,0gzu5mm36VJH2Zqu8sQPTf,Genda Phool (feat. Payal Dev),Badshah;Payal Dev,1,305,28365852.0
India,0td8QgmgwUwlbk58VKf6Fl,California,ill Nicky;Vibes Only,1,39,0.0
India,1orM67pmkNc4alrZkWjYkV,Naach Meri Rani,Guru Randhawa;Nikhita Gandhi;Tanishk Bagchi;Nora Fatehi,1,166,22915549.0
India,1smFN2CLqGROu0J0UyvDfL,Shayad,Pritam;Arijit Singh,1,654,91303784.0
India,1v1oIWf2Xgh54kIWuKsDf6,Runaway,AURORA,1,114,11473108.0
India,2mKvEIvd912eg3FZ8WamMS,Bitch I'm Back,Sidhu Moose Wala,1,35,3947169.0
India,2nC3QhMI9reBIOWutbU3Tj,Moral of the Story,Ashe,1,53,0.0
India,2rOnSn2piaqLAlYjtfUBlY,"Raataan Lambiyan (From ""Shershaah"")",Tanishk Bagchi;Jubin Nautiyal;Asees Kaur,1,121,81960410.0
India,46QbY78ha62aiu6gBgC7lS,G.O.A.T.,Diljit Dosanjh,1,262,26229430.0
India,4DpNNXFMMxQEKl7r0ykkWA,Play Date,Melanie Martinez,1,786,71344064.0
India,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,1,76,4944980.0
India,4MIKclDDgZgzuaATP5yOjW,On the Low,Justin Park,1,16,0.0
India,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1,148,249944.0
India,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,1,211,32340932.0
India,4vLBnQtece15fFhqWxZvJP,Your New Boyfriend,Wilbur Soot,1,30,0.0
India,4xhWfr0tyA7BGL7eXo8KnV,ALL GIRLS ARE THE SAME,RØNIN,1,62,0.0
India,58f4twRnbZOOVUhMUpplJ4,Brown Munde,AP Dhillon;Gminxr;Gurinder Gill;Shinda Kahlon,1,704,127569726.0
India,5JO2usoem1CW1pLL1kLj9E,Manike Mage Hithe,Chamath Sangeeth;Yohani;Satheeshan,1,124,13179824.0
Japan,0cSkn2l67csUljEy0EEBPn,炎,LiSA,1,824,143278808.0
Japan,0eu4C55hL6x29mmeAjytzC,Life Goes On,Oliver Tree,1,78,0.0
Japan,154Jycdld9dX9rBLE6L3v4,寄り酔い,和ぬか,1,49,0.0
Japan,15HNdxGKNCIO9pgaY4n7FU,Pretender,Official HIGE DANdism,1,1740,238832130.0
Japan,1zzxoZVylsna2BQB65Ppcb,X Gon' Give It To Ya,DMX,1,6,0.0
Japan,3Wrjm47oTz2sjIgck11l5e,Beggin',Måneskin,1,195,0.0
Japan,3dPtXHP0oXQ4HCWHsOA9js,夜に駆ける,YOASOBI,1,366,62197119.0
Japan,3z06k8YF9CqX0CGFrlekOK,everything sucks,vaultboy,1,62,0.0
Japan,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1,88,0.0
Japan,4pRqq3MwcqitKqNO8rOrOb,I Love...,Official HIGE DANdism,1,950,130793570.0
Japan,4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,Måneskin,1,192,0.0
Japan,5m1i6hq7dmRlp3c1utE48L,水平線,back number,1,212,41433322.0
Japan,66orjI5vOkyxOZLHWrPklh,X Gon' Give It To Ya - Int'l Bonus track,DMX,1,3,0.0
Japan,6EzZn96uOc9JsVGNRpx06n,うっせぇわ,Ado,1,373,49321347.0
Japan,6GoLARmR2OZl2EldehFrsA,Immaterial,SOPHIE,1,15,0.0
Japan,6wOazYrDGLhMAhwU6RArlg,Sing My Pleasure,ヴィヴィ(Vo.八木海莉),1,56,0.0
Japan,7BoobGhD4x5K96Me0hqC8Q,Build a Bitch,Bella Poarch,1,35,0.0
Japan,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,1,104,0.0
Japan,7dH0dpi751EoguDDg3xx6J,ドライフラワー,Yuuri,1,381,99448206.0
Japan,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu;beabadoobee,1,57,0.0
United Kingdom,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1,541,119438936.0
United Kingdom,0W7brFokN6QtGRNp32RCQP,Alone With You,Arz,1,106,8470938.0
United Kingdom,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,1,70,55853014.0
United Kingdom,0wCWfjqo0FV1CDseDGD0cV,Two Years Clear,Idi Akz,1,59,0.0
United Kingdom,2FRnf9qhLbvw8fu4IBXx78,Last Christmas,Wham!,1,126,59462884.0
United Kingdom,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,1,272,63897146.0
United Kingdom,46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,1,38,22779106.0
United Kingdom,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,1,200,87327477.0
United Kingdom,4cG7HUWYHBV6R6tHn1gxrl,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton;Nightcrawlers;Mufasa & Hypeman;Dopamine,1,386,75831478.0
United Kingdom,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1,104,8006728.0
United Kingdom,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,1,145,36886426.0
United Kingdom,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,1,98,16548685.0
United Kingdom,5PjdY0CKGZdEuoNab3yDmX,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,1,276,110472826.0
United Kingdom,62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),Surf Mesa;Emilee,1,112,4594413.0
United Kingdom,67BtfxlNbhBmCDR2L2l8qd,MONTERO (Call Me By Your Name),Lil Nas X,1,158,47983351.0
United Kingdom,6cx06DFPPHchuUAcTxznu9,Head & Heart (feat. MNEK),Joel Corry;MNEK,1,852,206797808.0
United Kingdom,6uDBSDI9pDM7C4Gm0hc2hI,Castaways,The Backyardigans,1,35,0.0
United Kingdom,7FIWs0pqAYbP91WWM0vlTQ,Godzilla (feat. Juice WRLD),Eminem;Juice WRLD,1,119,28667477.0
United Kingdom,7aGyRfJWtLqgJaZoG9lJhE,Mad at Disney,salem ilese,1,98,0.0
United Kingdom,7eJMfftS33KTjuF7lTsMCx,death bed (coffee for your head),Powfu;beabadoobee,1,199,37806820.0
United States,02MWAaffLxlfxAUY7c5dvx,Heat Waves,Glass Animals,1,1182,811096980.0
United States,0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,The Weeknd,1,536,383433170.0
United States,0gplL1WMoJ6iYaPgMCL0gX,Easy On Me,Adele,1,70,113863032.0
United States,27NovPIUIRrOZoCHxABJwK,INDUSTRY BABY (feat. Jack Harlow),Lil Nas X;Jack Harlow,1,112,184372074.0
United States,2EjXfH91m7f8HiJN1yQg97,Rockin' Around The Christmas Tree,Brenda Lee,1,77,90752247.0
United States,2Z8yfpFX0ZMavHkcIeHiO1,Monster (Shawn Mendes & Justin Bieber),Shawn Mendes;Justin Bieber,1,14,10682716.0
United States,2ygvZOXrIeVL4xZmAWJT2C,my future,Billie Eilish,1,31,19473414.0
United States,35mvY5S1H3J2QZyna3TFe0,positions,Ariana Grande,1,318,232603374.0
United States,3ZLGYdkjnOMdzHr0bGCGs9,Coronavirus,iMarkkeyz,1,1,0.0
United States,3cBsEDNhFI9E82vPj3kvi3,Wasted On You,Morgan Wallen,1,66,35807024.0
United States,46IZ0fSY2mpAiktS3KOqds,Easy On Me,Adele,1,82,82801000.0
United States,47EiUVwUp4C9fGccaPuUCS,DÁKITI,Bad Bunny;Jhayco,1,112,114608860.0
United States,4HBZA5flZLE435QTztThqH,Stuck with U (with Justin Bieber),Ariana Grande;Justin Bieber,1,120,77119486.0
United States,4MzXwWMhyBbmu6hOcLVD49,DÁKITI,Bad Bunny;Jhay Cortez,1,824,506454176.0
United States,4ZtFanR9U6ndgddUvNcjcG,good 4 u,Olivia Rodrigo,1,219,296813911.0
United States,4fouWK6XVHhzl78KzQ1UjL,abcdefu,GAYLE,1,152,58657552.0
United States,4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Justin Bieber;Daniel Caesar;Giveon,1,188,168025888.0
United States,4pt5fDVTg5GhEvEtlz9dKk,I WANNA BE YOUR SLAVE,Måneskin,1,231,26471118.0
United States,54bFM56PmE4YLRnqpW6Tha,Therefore I Am,Billie Eilish,1,126,74502253.0
United States,5HCyWlXZPP0y6Gqq8TgA20,STAY (with Justin Bieber),The Kid LAROI;Justin Bieber,1,28,56843626.0
